layer	head	precision	recall	f1	aupr	predicted_edges	true_edges	candidate_pairs	candidate_positives	candidate_positive_rate	evaluated_pairs	aupr_bootstrap_mean	aupr_bootstrap_std	aupr_bootstrap_ci_low	aupr_bootstrap_ci_high	bootstrap_mean_rank	bootstrap_top_k_freq
5	3	0.005454545454545455	0.09375	0.010309278350515464	0.005553307643271431	550	32	13189	30	0.002274622791720373	13189	0.005965336739098329	0.0019354297105908275	0.0031555288991632724	0.00977949553798544	17.7	0.16
5	4	0.0018181818181818182	0.03125	0.0034364261168384883	0.004188464763468293	550	32	13189	30	0.002274622791720373	13189	0.004646609983694371	0.0014026453573714908	0.002536207946733243	0.007796008873896941	65.78	0.0
5	5	0.0018181818181818182	0.03125	0.0034364261168384883	0.0044839127206918435	550	32	13189	30	0.002274622791720373	13189	0.004848517246703133	0.0014872438993883562	0.002700422089772613	0.008435817996050898	52.08	0.0
5	6	0.0	0.0	0.0	0.003565738792912268	550	32	13189	30	0.002274622791720373	13189	0.003923318680410718	0.0010608760951337406	0.0024467993682698217	0.006218284523528635	93.48	0.0
5	7	0.016363636363636365	0.28125	0.030927835051546393	0.007571729985021747	550	32	13189	30	0.002274622791720373	13189	0.007880041936084775	0.002659096907456294	0.00358415289230514	0.013721860118709177	5.8	0.94
6	0	0.0	0.0	0.0	0.0038499449433858825	550	32	13189	30	0.002274622791720373	13189	0.004223981862072292	0.0011969308944466208	0.002442303303756747	0.006887397812015711	84.48	0.0
6	1	0.0018181818181818182	0.03125	0.0034364261168384883	0.00470411463360231	550	32	13189	30	0.002274622791720373	13189	0.005050186963720598	0.0015045749957195381	0.0027895236600452545	0.008395498229275256	41.04	0.0
6	2	0.0036363636363636364	0.0625	0.006872852233676977	0.004705740716964832	550	32	13189	30	0.002274622791720373	13189	0.005128229596738687	0.0015466467232811817	0.0027586182878922704	0.008450687214485391	38.46	0.0
6	3	0.014545454545454545	0.25	0.027491408934707907	0.006048216221260526	550	32	13189	30	0.002274622791720373	13189	0.006326840267546544	0.0021136785257487812	0.0029354704923077353	0.011591848812668613	14.38	0.42
6	4	0.0036363636363636364	0.0625	0.006872852233676977	0.004656035125767346	550	32	13189	30	0.002274622791720373	13189	0.004997135287140922	0.001543592950261691	0.0027775106508329188	0.008956915262330315	44.76	0.0
6	5	0.005454545454545455	0.09375	0.010309278350515464	0.005736586658952169	550	32	13189	30	0.002274622791720373	13189	0.006439898081054936	0.0021462436511529527	0.0030892635193261304	0.010408298926076339	17.16	0.4
6	6	0.0036363636363636364	0.0625	0.006872852233676977	0.004214800754012084	550	32	13189	30	0.002274622791720373	13189	0.004605580932951105	0.0013625099658954015	0.002688180691377088	0.007370081227208574	64.96	0.0
6	7	0.00909090909090909	0.15625	0.01718213058419244	0.005915059491937514	550	32	13189	30	0.002274622791720373	13189	0.006384915564903368	0.0021629413613382703	0.003384749227396934	0.010551023042763043	12.14	0.28
7	0	0.0	0.0	0.0	0.0042509548777594185	550	32	13189	30	0.002274622791720373	13189	0.00460309007612733	0.0013618889438004006	0.0026387702903553764	0.007709752497022565	66.0	0.0
7	1	0.0036363636363636364	0.0625	0.006872852233676977	0.004833437907083957	550	32	13189	30	0.002274622791720373	13189	0.005149671651347665	0.0015571054771186545	0.0027932739201963356	0.008610832282914139	37.46	0.0
7	2	0.0	0.0	0.0	0.004864474418599608	550	32	13189	30	0.002274622791720373	13189	0.005181224841590352	0.0015811811472705632	0.0027684202655000696	0.008745211849357457	35.6	0.0
7	3	0.0018181818181818182	0.03125	0.0034364261168384883	0.004993465462887752	550	32	13189	30	0.002274622791720373	13189	0.005600536203069948	0.0019759405154155672	0.0030820627837550413	0.009678307658524617	28.68	0.08
