layer	head	aupr_bootstrap_mean	aupr_bootstrap_std	aupr_bootstrap_ci_low	aupr_bootstrap_ci_high	bootstrap_mean_rank	bootstrap_top_k_freq	bootstrap_repeats	bootstrap_pairs	bootstrap_top_k	bootstrap_seed
8	5	0.001785364187717258	0.0006269650577870375	0.0006172472619608252	0.0030914080794619317	59.52	0.0	50	50000	10	1042
8	6	0.0018676038384695542	0.0006994446430760321	0.000682165962385685	0.003529537094009305	52.18	0.0	50	50000	10	1042
8	7	0.0017585966587995003	0.0005911735480239893	0.0006301884958074618	0.0030259554255999787	64.56	0.0	50	50000	10	1042
9	0	0.001777202011276467	0.0006099996324470021	0.0006216607262516479	0.0030745652888480002	62.94	0.0	50	50000	10	1042
9	1	0.0020627023542638813	0.0008064534820921689	0.0006836768003568256	0.0037317857850720886	28.48	0.04	50	50000	10	1042
9	2	0.0017969436835647925	0.000639265143975191	0.0006488341307341096	0.003247564135251538	58.08	0.0	50	50000	10	1042
9	3	0.001986830957468453	0.0007512191208752001	0.0007013507810328241	0.00371948367693335	38.92	0.0	50	50000	10	1042
9	4	0.0018662573265577588	0.0006409893952548461	0.0006373415902682537	0.003195646437995073	47.94	0.0	50	50000	10	1042
9	5	0.0018473240992073507	0.0006544576508508111	0.0006354604184325795	0.0032921353956309844	50.72	0.0	50	50000	10	1042
9	6	0.0022857932433719592	0.0008357775752911757	0.0007404757004258188	0.004073092319975206	15.5	0.14	50	50000	10	1042
9	7	0.001847934547852181	0.0006315895984958759	0.0006332735367735694	0.0032418493064140155	48.58	0.0	50	50000	10	1042
10	0	0.0018227020573384793	0.0006722439601919913	0.0006327905850088414	0.003474580203219793	56.48	0.0	50	50000	10	1042
10	1	0.0019453065929195543	0.0007238117122982037	0.0006675033013175397	0.003622006023183334	41.36	0.0	50	50000	10	1042
10	2	0.002331617751109157	0.0008620830597675887	0.0007344747175060761	0.003904772481410383	19.48	0.32	50	50000	10	1042
10	3	0.002031481663343781	0.000859289883882043	0.0006962341525644054	0.0038980907528204066	40.56	0.1	50	50000	10	1042
10	4	0.0018480858851498345	0.0006636469853929122	0.0006545841545693029	0.0033752491385024316	49.76	0.0	50	50000	10	1042
10	5	0.0023084723663086074	0.0009533982120467576	0.0008006046259589224	0.00481227386665977	18.24	0.28	50	50000	10	1042
10	6	0.001965619320765122	0.0007129413576903043	0.0006547100299423061	0.00339441553547255	39.2	0.0	50	50000	10	1042
10	7	0.001785694573471862	0.0006249972593941345	0.0006251763037041915	0.003144444587809883	61.2	0.0	50	50000	10	1042
11	0	0.001845143888483473	0.0006914681863585922	0.0006451792255538945	0.003457712441155253	56.82	0.0	50	50000	10	1042
11	1	0.00193788778695484	0.0006965635666170737	0.0006801221002823559	0.0034373068350594294	42.64	0.0	50	50000	10	1042
11	2	0.0016707354970545705	0.0005727655555570198	0.0005741179468395396	0.0029268979076838182	78.4	0.0	50	50000	10	1042
11	3	0.002431626766545632	0.0009675163859611891	0.0008907894340434001	0.0044471550714003105	14.34	0.42	50	50000	10	1042
11	4	0.001969785077559727	0.000723224743497207	0.0006891471326780073	0.0036020111147452415	34.44	0.0	50	50000	10	1042
11	5	0.0018452191711114826	0.0006256512098117478	0.0006337089635733578	0.003157168984504152	49.92	0.0	50	50000	10	1042
11	6	0.0019287550581565385	0.0006886912669858214	0.0006783416763547339	0.0034561364762144505	37.94	0.0	50	50000	10	1042
11	7	0.0025045976556073296	0.0009080152499787306	0.0008191855800508325	0.004245194002857988	11.5	0.52	50	50000	10	1042
