quantile	quantile_label	edge_score_threshold	layer	head	head_id	n_edges_nonzero	high_conf_edges	high_conf_fraction	odds_ratio_high_vs_rest	p_value_high_enriched	q_value_high_enriched	significant_q_lt_0_10
0.95	top05%	0.049063231595433555	0	3	0:3	173	23	0.1329479768786127	3.650409356725146	4.853337711129821e-06	0.00017472015760067357	True
0.95	top05%	0.049063231595433555	0	2	0:2	82	9	0.10975609756097561	2.490063669689369	0.019220984768685327	0.3459777258363359	False
0.95	top05%	0.049063231595433555	1	5	1:5	25	4	0.16	3.724310776942356	0.03373865651444026	0.4048638781732831	False
0.95	top05%	0.049063231595433555	11	5	11:5	11	2	0.18181818181818182	4.267806267806268	0.10276888466728118	0.9249199620055306	False
0.95	top05%	0.049063231595433555	0	5	0:5	73	6	0.0821917808219178	1.7426381605486083	0.157468415795065	0.9448104947703899	False
0.95	top05%	0.049063231595433555	10	2	10:2	156	11	0.07051282051282051	1.4974512743628186	0.15439888457170695	0.9448104947703899	False
0.95	top05%	0.049063231595433555	1	3	1:3	33	3	0.09090909090909091	1.9181818181818182	0.22969508362244145	1.0	False
0.95	top05%	0.049063231595433555	9	1	9:1	11	1	0.09090909090909091	1.8949367088607596	0.43493690380602434	1.0	False
0.95	top05%	0.049063231595433555	1	1	1:1	12	1	0.08333333333333333	1.7215189873417722	0.46362030970419554	1.0	False
0.95	top05%	0.049063231595433555	1	2	1:2	54	3	0.05555555555555555	1.1122994652406417	0.519242073652303	1.0	False
0.95	top05%	0.049063231595433555	1	6	1:6	20	1	0.05	0.9913391072618255	0.6468632651495867	1.0	False
0.95	top05%	0.049063231595433555	0	7	0:7	83	4	0.04819277108433735	0.9513657561625583	0.613153035342637	1.0	False
0.95	top05%	0.049063231595433555	1	4	1:4	24	1	0.041666666666666664	0.8167308750687947	0.7137001075356946	1.0	False
0.95	top05%	0.049063231595433555	0	0	0:0	51	2	0.0392156862745098	0.7629513343799058	0.7398452314261659	1.0	False
0.95	top05%	0.049063231595433555	11	7	11:7	26	1	0.038461538461538464	0.7503797468354431	0.742266701459157	1.0	False
