source	target	score
SOX6	PADI4	0.028260722756385803
NCOA4	DEFA1	0.02825993299484253
GATA1	CTSG	0.028250275179743767
MXI1	URAHP	0.028244363144040108
LYL1	IGHG2	0.028237087385995046
MXI1	IGKV1-39	0.028236499056220055
NCOA4	HLA-DRA	0.02823441837905744
MXI1	FBLN1	0.028137197718024254
LYL1	TPSAB1	0.0281235221773386
NFIX	ALPL	0.028118940070271492
TAL1	IL7R	0.028111115097999573
LYL1	PGLYRP1	0.028099557384848595
ANKRD1	AQP9	0.028073018416762352
NFE2	IGLC3	0.028042400255799294
NEUROD1	RP11-217O12.1	0.027999987825751305
NCOA4	IGHG1	0.027997979521751405
FOXA1	SIAH2	0.027983343228697777
MXI1	IGLV5-45	0.0279679074883461
MXI1	ATP6V0C	0.0279623634285397
LYL1	IL1B	0.02785080129450018
NCOA4	PI3	0.027828911940256756
ANKRD1	CSF3R	0.02782703936100006
GATA1	ADCYAP1	0.02781727723777294
LYL1	PRG4	0.027788126841187477
TAL1	CXCL8	0.027760906144976616
NCOA4	ABCC9	0.02770136296749115
FOXA1	MICAL2	0.02768702805042267
ANKRD1	PRG4	0.02768663875758648
ANKRD1	HBB	0.02758895792067051
NFIX	DERL3	0.027586234112580616
NCOA4	KDM7A-DT	0.027563896775245667
NEUROD1	RHCE	0.027555419132113457
NFE2	CSF3R	0.027531247247349133
ANKRD1	CXCL8	0.027523083612322807
NCOA4	PRDX2	0.027510649628109403
NEUROD1	IGLV1-47	0.027499059215188026
NFIX	IGLC2	0.027485007420182228
FOXA1	CSF3R	0.027471760287880898
NFE2	JCHAIN	0.027428612112998962
NFE2	PPBP	0.02741605043411255
LYL1	TENT5C	0.02741096778349443
NCOA4	IGKV1D-39	0.02739771269261837
NFE2	CCL4	0.027369007468223572
NCOA4	IGLV1-47	0.027361853048205376
ANKRD1	C9orf78	0.027358360588550568
SOX6	SLC8A1	0.02734158081667764
PBX1	ANKRD9	0.02727948725223541
GATA1	BASP1	0.027269570156931877
SOX6	S100P	0.02725258469581604
PBX1	EPB41	0.02725256234407425
PBX1	STRADB	0.02719361148774624
NFIX	GPX1	0.027184771864037765
PBX1	IGLC2	0.027161315083503723
ANKRD1	BLVRB	0.027130357921123505
ANKRD1	PLAUR	0.0271295215934515
NEUROD1	IGHJ6	0.02710788883268833
TAL1	HLA-DRA	0.0270879864692688
NFIX	CA3-AS1	0.02703150548040867
NEUROD1	FAM83A-AS1	0.026995375752449036
PBX1	C1QB	0.0269907359033823
NCOA4	IGHV4-4	0.026988482102751732
LYL1	NATD1	0.026973081131776173
LYL1	IGHA1	0.026946303844451906
E2F2	PA2G4P5	0.02688189409673214
SOX6	AQP9	0.026869378983974457
PBX1	IGHM	0.026859117671847343
NCOA4	GYPC	0.02683162462143671
SOX6	FKBP8	0.026745559913771495
NFE2	C4orf17	0.02674430049955845
PBX1	LYZ	0.02674010954797268
NCOA4	PGLYRP1	0.026650339365005493
PBX1	PLA2R1	0.02664700150489807
ANKRD1	SELENOP	0.026639657095074654
LYL1	FHDC1	0.026630776623884838
HOXD1	FKBP8	0.026630530133843422
ANKRD1	VCAN	0.026629820466041565
SOX6	G0S2	0.02661985345184803
LYL1	IGHGP	0.026610493659973145
LYL1	NUDT4B	0.026520898565649986
NFE2	CXCL8	0.026464114063664487
LYL1	DKK1	0.026438483968377113
NCOA4	MXI1	0.02641294237043037
PBX1	RP11-254F19.4	0.026409387588500977
NCOA4	MKRN1	0.026394386724992232
NCOA4	EPB41	0.026370020376311407
PBX1	EDIL3	0.026356833055615425
GATA1	LINC02318	0.026334097608923912
NCOA4	LINC02318	0.026304611936211586
SOX6	PLAUR	0.02629701793193817
NFIX	ACSL6	0.026290925219655037
SOX6	IGHA2	0.026230307295918465
HOXD1	HBQ1	0.026221081614494324
NFIX	C1QB	0.02619599054257075
NEUROD1	JCHAIN	0.026182952026526134
TAL1	IL1B	0.026114201173186302
PBX1	THBS1	0.026111505925655365
NFE2	PLAUR	0.026073680204503676
NCOA4	LYZ	0.02607303315942938
NFE2	RETN	0.02605534412644126
NFE2	APOD	0.026037709787487984
TAL1	LINC02318	0.026035943999886513
NCOA4	FAM83A-AS1	0.02601013146340847
ANKRD1	TALDO1	0.025970688089728355
NCOA4	GUK1	0.025928061302394084
NCOA4	PCSK1N	0.025914819911122322
SOX6	IGLC2	0.025905000666777294
PBX1	GUK1	0.025900778445330532
ANKRD1	GUK1	0.02586163766682148
SOX6	PRDX2	0.025838902592658995
NFE2	RP5-1198O20.4	0.02583192102611065
NCOA4	CTD-2272D18.1	0.02577391266822815
SOX6	TMEM86B	0.025745925803979237
SOX6	KCNJ15	0.025744428237279255
SOX6	RETN	0.02574344476064046
NKX2-5	HP	0.025714091956615448
HOXD1	HBB	0.025683021172881126
LYL1	MNDA	0.025682460694085984
NCOA4	C4orf17	0.025668524205684662
LYL1	USH2A	0.02564552240073681
LYL1	PI3	0.025629281997680664
NEUROD1	IGHA2	0.025613702833652496
PBX1	CCL20	0.025610195472836494
NFIX	LYZ	0.025588035583496094
