quantile	quantile_label	edge_score_threshold	layer	head	head_id	n_edges_nonzero	high_conf_edges	high_conf_fraction	odds_ratio_high_vs_rest	p_value_high_enriched	q_value_high_enriched	significant_q_lt_0_10
0.85	top15%	0.035583557561039876	7	0	7:0	25	3	0.12	0.7700193423597679	0.7483285670489415	1.0	False
0.85	top15%	0.035583557561039876	0	0	0:0	51	6	0.11764705882352941	0.7494252873563219	0.8009328728111247	1.0	False
0.85	top15%	0.035583557561039876	8	7	8:7	19	2	0.10526315789473684	0.6640079760717846	0.8031481804593756	1.0	False
0.85	top15%	0.035583557561039876	0	2	0:2	102	10	0.09803921568627451	0.5992562929061785	0.9579194356122515	1.0	False
0.85	top15%	0.035583557561039876	10	3	10:3	42	4	0.09523809523809523	0.5897435897435898	0.8963269703216997	1.0	False
0.85	top15%	0.035583557561039876	10	1	10:1	11	1	0.09090909090909091	0.5649789029535865	0.8336139140339669	1.0	False
0.85	top15%	0.035583557561039876	1	6	1:6	23	2	0.08695652173913043	0.5359160613397902	0.88132334902368	1.0	False
0.85	top15%	0.035583557561039876	10	7	10:7	49	4	0.08163265306122448	0.495346628679962	0.9511318059523204	1.0	False
0.85	top15%	0.035583557561039876	3	2	3:2	15	1	0.06666666666666667	0.4023508137432188	0.9136182440172353	1.0	False
0.85	top15%	0.035583557561039876	11	3	11:3	30	2	0.06666666666666667	0.399818401937046	0.953381588466788	1.0	False
0.85	top15%	0.035583557561039876	10	4	10:4	34	2	0.058823529411764705	0.3487817796610169	0.9732376210467013	1.0	False
0.85	top15%	0.035583557561039876	9	4	9:4	22	1	0.045454545454545456	0.2668274060679124	0.9726909338659108	1.0	False
0.85	top15%	0.035583557561039876	11	1	11:1	32	1	0.03125	0.1793929495031986	0.9947805704486724	1.0	False
0.85	top15%	0.035583557561039876	9	3	9:3	34	1	0.029411764705882353	0.16826492775859864	0.9962564529440326	1.0	False
0.85	top15%	0.035583557561039876	7	2	7:2	13	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.035583557561039876	10	0	10:0	22	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.035583557561039876	11	0	11:0	22	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.03915712684392924	0	7	0:7	144	29	0.2013888888888889	2.5469565217391303	9.088954975087323e-05	0.003817361089536676	True
0.9	top10%	0.03915712684392924	1	5	1:5	19	8	0.42105263157894735	6.8248043347381095	0.0002466131021517882	0.0051788751451875515	True
0.9	top10%	0.03915712684392924	4	3	4:3	15	4	0.26666666666666666	3.324340175953079	0.05501080579697409	0.7349546429056004	False
0.9	top10%	0.03915712684392924	4	7	4:7	13	3	0.23076923076923078	2.726923076923077	0.1336900962873463	0.7349546429056004	False
0.9	top10%	0.03915712684392924	5	0	5:0	13	3	0.23076923076923078	2.726923076923077	0.1336900962873463	0.7349546429056004	False
0.9	top10%	0.03915712684392924	3	1	3:1	15	3	0.2	2.269230769230769	0.18405701956342715	0.7349546429056004	False
0.9	top10%	0.03915712684392924	0	1	0:1	33	6	0.18181818181818182	2.0348583877995643	0.10461955769802822	0.7349546429056004	False
0.9	top10%	0.03915712684392924	1	2	1:2	22	4	0.18181818181818182	2.021505376344086	0.1715017023238987	0.7349546429056004	False
0.9	top10%	0.03915712684392924	11	7	11:7	28	5	0.17857142857142858	1.9833427442123095	0.14113077585881365	0.7349546429056004	False
0.9	top10%	0.03915712684392924	0	3	0:3	31	5	0.16129032258064516	1.7507492507492508	0.1924881207609906	0.7349546429056004	False
0.9	top10%	0.03915712684392924	0	6	0:6	83	12	0.14457831325301204	1.5602184535786146	0.11850707178411916	0.7349546429056004	False
0.9	top10%	0.03915712684392924	8	0	8:0	29	4	0.13793103448275862	1.448258064516129	0.3298117935792428	1.0	False
0.9	top10%	0.03915712684392924	5	5	5:5	15	2	0.13333333333333333	1.3865752082312592	0.4526451215133993	1.0	False
0.9	top10%	0.03915712684392924	1	7	1:7	34	4	0.11764705882352941	1.2025806451612904	0.44843486239483205	1.0	False
0.9	top10%	0.03915712684392924	0	4	0:4	69	8	0.11594202898550725	1.1872760829443056	0.386809108458325	1.0	False
0.9	top10%	0.03915712684392924	1	4	1:4	53	6	0.11320754716981132	1.152273675427618	0.441682417774633	1.0	False
0.9	top10%	0.03915712684392924	8	7	8:7	19	2	0.10526315789473684	1.0573248407643312	0.5822625524913234	1.0	False
0.9	top10%	0.03915712684392924	2	2	2:2	20	2	0.1	0.9978768577494692	0.6109613310082235	1.0	False
0.9	top10%	0.03915712684392924	2	3	2:3	11	1	0.09090909090909091	0.8974683544303798	0.6881251327250384	1.0	False
0.9	top10%	0.03915712684392924	1	1	1:1	23	2	0.08695652173913043	0.8535031847133758	0.6880282352083693	1.0	False
0.9	top10%	0.03915712684392924	10	7	10:7	49	4	0.08163265306122448	0.7931182795698924	0.7408934525355517	1.0	False
0.9	top10%	0.03915712684392924	7	0	7:0	25	2	0.08	0.7781777900858488	0.7321603771544617	1.0	False
0.9	top10%	0.03915712684392924	0	5	0:5	63	5	0.07936507936507936	0.7669055082848186	0.7746178741290395	1.0	False
0.9	top10%	0.03915712684392924	0	0	0:0	51	4	0.0784313725490196	0.7582704186684969	0.7694171214808359	1.0	False
0.9	top10%	0.03915712684392924	0	2	0:2	102	7	0.06862745098039216	0.646191135734072	0.9031921960383424	1.0	False
0.9	top10%	0.03915712684392924	2	5	2:5	15	1	0.06666666666666667	0.6392405063291139	0.7962727564674773	1.0	False
0.9	top10%	0.03915712684392924	3	2	3:2	15	1	0.06666666666666667	0.6392405063291139	0.7962727564674773	1.0	False
0.9	top10%	0.03915712684392924	11	3	11:3	30	2	0.06666666666666667	0.6369426751592356	0.8199036485194057	1.0	False
0.9	top10%	0.03915712684392924	11	2	11:2	16	1	0.0625	0.5962025316455696	0.8168787562904234	1.0	False
0.9	top10%	0.03915712684392924	11	6	11:6	16	1	0.0625	0.5962025316455696	0.8168787562904234	1.0	False
0.9	top10%	0.03915712684392924	9	5	9:5	39	2	0.05128205128205128	0.47891203305216046	0.9156252284877179	1.0	False
0.9	top10%	0.03915712684392924	10	3	10:3	42	2	0.047619047619047616	0.44203821656050957	0.9351135905776697	1.0	False
0.9	top10%	0.03915712684392924	9	3	9:3	34	1	0.029411764705882353	0.2675489067894131	0.9734666888891753	1.0	False
0.9	top10%	0.03915712684392924	1	3	1:3	14	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.03915712684392924	1	6	1:6	23	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.03915712684392924	7	2	7:2	13	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.03915712684392924	9	4	9:4	22	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.03915712684392924	10	0	10:0	22	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.03915712684392924	10	1	10:1	11	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.03915712684392924	10	4	10:4	34	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.03915712684392924	11	0	11:0	22	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.03915712684392924	11	1	11:1	32	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.046717124059796264	1	5	1:5	19	6	0.3157894736842105	9.318087318087318	0.00021808822018415798	0.009159705247734636	True
0.95	top05%	0.046717124059796264	0	7	0:7	144	17	0.11805555555555555	2.9321334833145856	0.0005066862004444166	0.010640410209332749	True
0.95	top05%	0.046717124059796264	5	0	5:0	13	3	0.23076923076923078	5.832467532467533	0.02446370663847888	0.34249189293870436	False
0.95	top05%	0.046717124059796264	0	3	0:3	31	4	0.12903225806451613	2.884990253411306	0.0668543785445352	0.7019709747176196	False
0.95	top05%	0.046717124059796264	4	3	4:3	15	2	0.13333333333333333	2.9467455621301775	0.17265535558185285	1.0	False
0.95	top05%	0.046717124059796264	8	7	8:7	19	2	0.10526315789473684	2.2473604826546003	0.2480074911634454	1.0	False
0.95	top05%	0.046717124059796264	0	1	0:1	33	3	0.09090909090909091	1.9181818181818182	0.22969508362244145	1.0	False
0.95	top05%	0.046717124059796264	1	2	1:2	22	2	0.09090909090909091	1.9064102564102565	0.30538904739048567	1.0	False
0.95	top05%	0.046717124059796264	2	3	2:3	11	1	0.09090909090909091	1.8949367088607596	0.43493690380602434	1.0	False
0.95	top05%	0.046717124059796264	0	4	0:4	69	5	0.07246376811594203	1.503125	0.26533761053042915	1.0	False
0.95	top05%	0.046717124059796264	11	7	11:7	28	2	0.07142857142857142	1.460552268244576	0.4169027019509858	1.0	False
0.95	top05%	0.046717124059796264	8	0	8:0	29	2	0.06896551724137931	1.4055080721747388	0.43469479673582034	1.0	False
0.95	top05%	0.046717124059796264	11	3	11:3	30	2	0.06666666666666667	1.3543956043956045	0.4521997643721012	1.0	False
0.95	top05%	0.046717124059796264	0	5	0:5	63	4	0.06349206349206349	1.2917038358608386	0.3936301561266188	1.0	False
0.95	top05%	0.046717124059796264	11	2	11:2	16	1	0.0625	1.2590717299578058	0.5646623829328724	1.0	False
